chr,vcf_nm,vcf_drs,csi_nm,csi_drs,consent
chr13,MESA_phs001416_TOPMed_WGS_freeze.10b.chr13.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/a527e335-7aa6-43a4-8414-3dfa5fc72e7d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr13.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/4202053f-08ef-42b1-a94f-544150b5dcac,c1
chr14,MESA_phs001416_TOPMed_WGS_freeze.10b.chr14.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/8191acc9-9731-44b8-b0cb-3c8abb989c2d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr14.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/220f10f0-4611-4026-aab4-a558420618aa,c1
chr15,MESA_phs001416_TOPMed_WGS_freeze.10b.chr15.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/d38fade3-5114-4c40-8fe5-18606957eaac,MESA_phs001416_TOPMed_WGS_freeze.10b.chr15.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/d3b44803-ef52-4d32-89a5-13261f0cbfe5,c1
chr16,MESA_phs001416_TOPMed_WGS_freeze.10b.chr16.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/2176d216-9fff-400b-a117-6e54e05103ca,MESA_phs001416_TOPMed_WGS_freeze.10b.chr16.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/02114a4a-bb34-4791-bffd-cde780c56c47,c1
chr17,MESA_phs001416_TOPMed_WGS_freeze.10b.chr17.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/4c522c3f-c6a3-4bac-b694-a521132fe6b5,MESA_phs001416_TOPMed_WGS_freeze.10b.chr17.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/8b7c48c8-e7dc-4568-a70a-80a96e29b1d7,c1
chr18,MESA_phs001416_TOPMed_WGS_freeze.10b.chr18.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/40ea9dd8-db57-48cb-bb0f-0b5377daf535,MESA_phs001416_TOPMed_WGS_freeze.10b.chr18.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/551d2e0b-7e91-406d-a768-658b0ec2fad1,c1
chr19,MESA_phs001416_TOPMed_WGS_freeze.10b.chr19.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/f1cb6f21-c432-40c0-a818-d2fb9dc1dccd,MESA_phs001416_TOPMed_WGS_freeze.10b.chr19.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/54d7b0a0-ffa9-4902-b39f-69c8e6cdfad4,c1
chr20,MESA_phs001416_TOPMed_WGS_freeze.10b.chr20.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/4748f45f-283e-447b-be0c-82d229fc4d3b,MESA_phs001416_TOPMed_WGS_freeze.10b.chr20.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/768e09ba-10ed-4bee-9f88-082633b96049,c1
chr21,MESA_phs001416_TOPMed_WGS_freeze.10b.chr21.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/25bfc09f-7554-42d7-adf7-dabc8d9e612c,MESA_phs001416_TOPMed_WGS_freeze.10b.chr21.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/6f212e7b-4d46-4c0a-89c0-832c63bff96f,c1
chr22,MESA_phs001416_TOPMed_WGS_freeze.10b.chr22.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/5a5110d4-1487-4d99-b426-9fe4b0526600,MESA_phs001416_TOPMed_WGS_freeze.10b.chr22.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/9dc79c85-7d0f-4f47-898f-b9f3f46da803,c1
chrX,MESA_phs001416_TOPMed_WGS_freeze.10b.chrX.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/a031c405-9e95-418a-962a-5fb0956984c8,MESA_phs001416_TOPMed_WGS_freeze.10b.chrX.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/aeabe218-d91e-4d9f-9cd4-0b27359135ec,c2
chr1,MESA_phs001416_TOPMed_WGS_freeze.10b.chr1.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/5997afd3-7570-4ecc-a46b-fc427e1fe040,MESA_phs001416_TOPMed_WGS_freeze.10b.chr1.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/2cf4b4f0-f652-4cfc-a6db-a726fc5d3587,c2
chr2,MESA_phs001416_TOPMed_WGS_freeze.10b.chr2.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/d29a11ea-6bde-4d0a-ae59-04b234e8807d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr2.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/28d3d8e3-282f-4c0a-9aaf-c7290844f23b,c2
chr3,MESA_phs001416_TOPMed_WGS_freeze.10b.chr3.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/360f1bf7-9e6b-4693-b35f-4499b5faef06,MESA_phs001416_TOPMed_WGS_freeze.10b.chr3.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/44a7cb42-9366-437d-b883-f7de75e4a5de,c2
chr4,MESA_phs001416_TOPMed_WGS_freeze.10b.chr4.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/de7e65d6-3429-4163-a6e1-815cccfc9906,MESA_phs001416_TOPMed_WGS_freeze.10b.chr4.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/5d1224d3-61b6-4e7c-bf9b-40abab6c0fe2,c2
chr5,MESA_phs001416_TOPMed_WGS_freeze.10b.chr5.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/f5e15c56-62e7-4aaa-8b65-e85f68e69f97,MESA_phs001416_TOPMed_WGS_freeze.10b.chr5.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/055d7fa9-b7dd-44b2-b066-8eeab12fc732,c2
chr6,MESA_phs001416_TOPMed_WGS_freeze.10b.chr6.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/ea8b3d02-d84f-49dc-9e1b-7af0e9613a07,MESA_phs001416_TOPMed_WGS_freeze.10b.chr6.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/2bbdc877-8e7a-45f3-9844-e61044a7a764,c2
chr7,MESA_phs001416_TOPMed_WGS_freeze.10b.chr7.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/f2dd8231-65f0-4459-b41a-b4b87c28fe17,MESA_phs001416_TOPMed_WGS_freeze.10b.chr7.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/7ac55a07-b17b-4d77-a8ac-61aeda7b847d,c2
chr8,MESA_phs001416_TOPMed_WGS_freeze.10b.chr8.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/3c45c004-712e-454d-8b29-6390ed3de954,MESA_phs001416_TOPMed_WGS_freeze.10b.chr8.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/c39e75be-6b6f-4e8b-ab6c-e184c0215f50,c2
chr9,MESA_phs001416_TOPMed_WGS_freeze.10b.chr9.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/107318d5-1c51-4163-805e-573c7ed6e186,MESA_phs001416_TOPMed_WGS_freeze.10b.chr9.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/bdca5c6c-7394-4c48-9859-46bcb2565818,c2
chr10,MESA_phs001416_TOPMed_WGS_freeze.10b.chr10.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/e568cc88-ebfb-4d2b-b7e2-523974a802c8,MESA_phs001416_TOPMed_WGS_freeze.10b.chr10.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/467e47b0-e6f0-4715-bb0c-4f8ce53ef5ad,c2
chr11,MESA_phs001416_TOPMed_WGS_freeze.10b.chr11.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/e1f4f4c0-f4d7-457d-a4b9-78eb5fef1352,MESA_phs001416_TOPMed_WGS_freeze.10b.chr11.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/315c71a0-094a-4f98-9048-b624eea6ad95,c2
chr12,MESA_phs001416_TOPMed_WGS_freeze.10b.chr12.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/0cd2b6fd-3a68-468f-b7c1-6b18c4a304b5,MESA_phs001416_TOPMed_WGS_freeze.10b.chr12.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/3afd1d74-6ab9-4ac9-9f10-348796313cea,c2
chr13,MESA_phs001416_TOPMed_WGS_freeze.10b.chr13.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/231f7f0c-fadd-4275-899f-c335d45fdfe2,MESA_phs001416_TOPMed_WGS_freeze.10b.chr13.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/6347dd47-9922-439a-96ca-3fad9616a4d5,c2
chr14,MESA_phs001416_TOPMed_WGS_freeze.10b.chr14.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/e04c4d92-60fc-4d6f-a859-3170f13595c2,MESA_phs001416_TOPMed_WGS_freeze.10b.chr14.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/b32a6f00-2351-4464-8c5c-11bb9c328096,c2
chr15,MESA_phs001416_TOPMed_WGS_freeze.10b.chr15.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/5bf1b9df-87f2-485a-be88-cf042a730803,MESA_phs001416_TOPMed_WGS_freeze.10b.chr15.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/657c997e-d092-4b57-ae01-331ad01f7070,c2
chr16,MESA_phs001416_TOPMed_WGS_freeze.10b.chr16.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/c3422c7e-ef61-40f3-87ef-6fdd9a567e6d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr16.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/458dd2d5-ac72-4cb9-a770-3a39db6732a5,c2
chr17,MESA_phs001416_TOPMed_WGS_freeze.10b.chr17.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/28ef91a1-649e-4d88-a6ae-fe69b2ac1681,MESA_phs001416_TOPMed_WGS_freeze.10b.chr17.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/be1d1e21-475f-4b9b-b629-75bf0732c044,c2
chr18,MESA_phs001416_TOPMed_WGS_freeze.10b.chr18.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/132ae905-6a16-4c8f-a9a8-b96a79e9d23c,MESA_phs001416_TOPMed_WGS_freeze.10b.chr18.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/bc649fe1-5866-41c7-aa1e-b0d0dc92b006,c2
chr19,MESA_phs001416_TOPMed_WGS_freeze.10b.chr19.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/b5c5c801-8a32-4593-8b59-88e4654cae2b,MESA_phs001416_TOPMed_WGS_freeze.10b.chr19.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/d337ce28-e63f-438b-82b0-3c62451e86eb,c2
chr20,MESA_phs001416_TOPMed_WGS_freeze.10b.chr20.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/f6a4af7f-ce84-4a60-b2a2-a861bf6fe7fb,MESA_phs001416_TOPMed_WGS_freeze.10b.chr20.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/a5ee0b7a-5856-40e7-b96a-ec2c36f2b6e3,c2
chr21,MESA_phs001416_TOPMed_WGS_freeze.10b.chr21.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/085c5d8b-1c76-4b01-badc-1c2a6abc9a7d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr21.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/cd040b2c-e48c-4004-8532-e2fc276fb684,c2
chr22,MESA_phs001416_TOPMed_WGS_freeze.10b.chr22.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/a06bef42-7895-4aaf-94b6-9c7bf8589d84,MESA_phs001416_TOPMed_WGS_freeze.10b.chr22.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/2562334e-ac89-4b36-93bb-f655ed436748,c2
chr2,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr2.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/41e55972-7245-442e-9531-8277964f5c58,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr2.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/ac2da905-9b65-4fb2-acaf-8958523a33a1,c2
chr5,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr5.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/7b53962f-c751-47ff-913c-fb0bdab213d5,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr5.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/d5cda930-f9b1-4a17-8fc4-86fb48a804b6,c1
chr13,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr13.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/ab8e3972-91ab-4b2b-9cf8-3ac1b4e24741,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr13.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/6c44f021-4dd6-4fce-86c2-da67bbdff01b,c1
chr9,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr9.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/a3e9c628-8cfe-46a6-8e27-a8dc980e53d6,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr9.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/4c0fd511-c5e6-4a0e-92fb-378c22b4e156,c1
chr19,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr19.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/ad569973-ca2b-4a65-88b4-d8cfc35e0a07,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr19.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/26e31b84-5128-41de-80a7-cc098842dd1e,c1
chrX,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chrX.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/bb7846a9-fc63-4c86-b21d-ee8470ead2b0,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chrX.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/5f9209ab-9c49-460c-addd-403a8b7a9fbe,c1
chr15,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr15.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/4726f8ed-99b3-4418-b3b2-cb84831b56c3,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr15.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/e388199e-b47f-4869-b1c6-639a9bce4134,c1
chr6,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr6.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/3733d98a-fae0-4b1e-877d-6501cd9a6305,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr6.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/ad2e8faf-a5c6-44ac-afed-6b7cf5cd04b1,c2
chr3,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr3.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/f5ba836b-39b6-417b-989b-c6d923ad8388,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr3.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/413f44d5-10a1-4b88-b3ab-7926cb45ca25,c2
chr1,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr1.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/438e2cab-e95e-4b97-b64a-3414897ef70d,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr1.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/93728542-8924-472e-b989-13a56ef82874,c2
chr15,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr15.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/33498d27-ca9d-4a95-825d-b082aed7e6d8,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr15.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/2405d6ca-d2c3-47b1-995b-fa9f3a91e8bf,c2
chr17,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr17.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/a13b2aab-2f7c-4bc1-b46c-45eab18817f4,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr17.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/631bc8f5-5cfc-44f3-80ab-970298766706,c2
chr8,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr8.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/2896b476-d5a0-4efa-9123-a4daa7828dc4,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr8.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/1d76952e-fd05-4122-9cbd-ed76ccb73b80,c1
chr10,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr10.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/eb27a397-ddd1-493b-bfb7-df2604398e7b,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr10.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/eba38289-81d0-4ffc-908a-952fc31fd0dc,c1
chr18,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr18.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/69548299-0b9c-4f89-9d56-367769163ce9,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr18.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/afac9e59-549f-4c0f-9a6c-f0870b642b48,c2
chr11,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr11.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/10a7ebbf-b7fb-4514-acc5-adb5fe062d54,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr11.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/2964f11c-dcd8-4e7e-bece-d28548dfb7e0,c1
chr11,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr11.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/78a24988-6720-4483-8da4-b529f1c13b17,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr11.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/34fb1adb-ce25-4bfd-893f-fd834c2114fb,c2
chr3,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr3.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/87ce494b-49e6-4f71-b3f8-d2f56f753359,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr3.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/253925bd-f5a1-41cb-b47c-e3ccf9f5acd7,c1
chr1,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr1.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/fa074070-6f48-4b46-9869-35073602070c,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr1.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/08f8e749-4109-40b8-985b-0a84cd81bd98,c1
chr20,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr20.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/cffa7e2a-0a24-4201-8173-db1528cab68c,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr20.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/94a125ad-980b-4145-9cba-235cec5ef8e6,c2
chr9,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr9.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/ae2c1a6c-38c1-44a9-aa60-7994795f1302,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr9.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/7745baf2-7e15-4d7a-ad96-bc4e7d1732bc,c2
chr12,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr12.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/3cab5fc2-0709-4cbd-9392-24ed7868ed5a,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr12.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/dd73b23c-2a8e-4b92-be09-40848643db58,c2
chr22,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr22.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/798506f5-1cac-4d41-95ae-97c076d6dc44,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr22.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/6631ecf3-1eac-459c-b0a9-646dd2d4c727,c2
chr4,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr4.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/d84cb03a-4d96-4da6-8912-977ee7e36e6f,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr4.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/32d66f1e-5427-4ad1-b6e9-df686f3997ff,c2
chr19,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr19.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/1d5766d0-02ed-4425-a741-8a76f28604b2,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr19.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/90459ab9-7c9d-49da-afbb-e8da6ce3d8b2,c2
chr10,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr10.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/724a0692-752a-4146-aa3f-19763952e01f,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr10.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/bc9bbf86-e8a5-4b38-87c0-1dae399bb2c9,c2
chr8,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr8.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/706ba410-d3d2-4fe9-a16a-0d74550de07a,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr8.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/741d3a15-734d-447e-9660-6a62e303a78d,c2
chr12,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr12.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/2295d380-a6b3-42ef-8862-0cdafe067b4b,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr12.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/ec49e037-0f99-4632-bbbe-4c357b219cf3,c1
